Time,Monday,Tuesday,Wednesday,Thursday,Firday,Saturday,Sunday
00:00,1,2,1,2,1,1,1
01:00,1,1,1,1,1,1,1
02:00,1,1,1,1,1,1,1
03:00,1,1,1,1,1,1,1
04:00,1,1,1,1,1,1,1
05:00,1,1,1,1,1,1,1
06:00,1,1,1,1,1,1,1
07:00,1,1,1,1,1,1,1
08:00,1,1,1,2,3,1,1
09:00,3,1,1,1,1,1,1
10:00,3,1,4,2,6,1,1
11:00,1,3,5,1,3,3,1
12:00,1,3,10,14,19,7,16
13:00,24,12,18,18,11,19,20
14:00,11,19,29,19,34,33,18
15:00,19,19,26,17,27,14,15
16:00,18,15,18,15,14,16,13
17:00,10,9,14,22,26,20,14
18:00,12,20,30,22,11,9,13
19:00,23,24,29,24,1,2,15
20:00,11,21,23,24,2,3,11
21:00,15,9,5,9,3,1,2
22:00,3,1,3,4,1,2,1
23:00,9,2,1,4,3,2,1
